name,sku,description,price,compareAtPrice,stockQuantity,minStockAlert,requiresPrescription,isFeatured,dosageForm,strength,activeIngredients,manufacturer,categoryName
Rosuvastatin 5mg Tablets,ROS-5MG-TAB,HMG-CoA reductase inhibitor (statin) used to lower LDL cholesterol and reduce cardiovascular risk.,171.09,195.00,100,10,true,false,Tablet,5mg,Rosuvastatin Calcium,Glenmark,Cardiovascular
Doxycycline 100mg Capsules,DOX-100-CAP,"Tetracycline antibiotic used to treat bacterial infections, acne, respiratory infections, and malaria prophylaxis.",23.86,28.00,150,15,true,false,Capsule,100mg,Doxycycline Hyclate,Accord,Antibiotics
Ferrous Sulfate 200mg Tablets - Pharmaboost,FER-200-PB,Iron supplement for the prevention and treatment of iron-deficiency anemia.,60.00,70.00,200,20,false,false,Tablet,200mg,Ferrous Sulfate,Pharmaboost,Vitamins & Supplements
Ferrous Sulfate 200mg Tablets - Trion Pharma,FER-200-TRI,Oral iron supplement used to replenish iron stores and combat fatigue in iron-deficiency anemia.,29.50,35.00,200,20,false,false,Tablet,200mg,Ferrous Sulfate,Trion Pharma Ltd,Vitamins & Supplements
Spironolactone 25mg Tablets,SPI-25MG-TAB,"Potassium-sparing diuretic and aldosterone antagonist for hypertension, heart failure, and edema.",115.00,130.00,100,10,true,false,Tablet,25mg,Spironolactone,Relon Chem,Cardiovascular
Rivaroxaban 20mg Tablets,RIV-20MG-TAB,Direct oral anticoagulant (DOAC) factor Xa inhibitor for deep vein thrombosis prevention and stroke reduction in AF.,33.00,40.00,80,10,true,false,Tablet,20mg,Rivaroxaban,Teva,Cardiovascular
Ramipril 5mg Tablets - Crescent,RAM-5MG-CRE,"ACE inhibitor used to treat high blood pressure, heart failure, and improve survival after myocardial infarction.",187.00,210.00,120,15,true,false,Tablet,5mg,Ramipril,Crescent Pharma,Cardiovascular
Bisoprolol 5mg Tablets - Ipca,BIS-5MG-IPC,"Cardioselective beta-1 blocker used in the management of hypertension, angina, and heart failure.",18.00,22.00,150,15,true,false,Tablet,5mg,Bisoprolol Fumarate,Ipca Laboratories,Cardiovascular
Benzydamine 0.15% Oromucosal Spray,BEN-015-SPR,Locally acting NSAID spray providing rapid relief of pain and inflammation in the mouth and throat.,82.00,95.00,60,10,false,false,Oromucosal Spray,0.15%,Benzydamine Hydrochloride,Abdi Farma,Oral Care
Mebeverine 135mg Tablets,MEB-135-TAB,Direct antispasmodic for smooth muscle relief in irritable bowel syndrome (IBS) and intestinal colic.,163.00,185.00,100,10,false,false,Tablet,135mg,Mebeverine Hydrochloride,Milpharm Limited,Gastrointestinal
Water for Injection 10mL Ampoules - Hameln,WFI-10ML-HAM,"Sterile, non-pyrogenic solvent for reconstitution or dilution of injectable medications.",68.95,80.00,200,20,false,false,Injection,10mL,Sterile Water for Injection,Hameln Pharma LTD,Medical Supplies
Midazolam 5mg/mL Injection,MID-5MG-INJ,"Short-acting benzodiazepine injection for procedural sedation, anesthesia induction, and seizure control.",348.00,390.00,40,5,true,false,Injection,5mg/mL,Midazolam,Hameln,Prescription Drugs
Vizhyd 0.1% Eye Drops (10mL),VIZ-01-10ML,"Lubricating ophthalmic solution with sodium hyaluronate for dry eyes, irritation, and ocular discomfort.",146.00,165.00,80,10,false,false,Eye Drops,0.1% (10mL),Sodium Hyaluronate,East Midland Pharma LTD,Eye Care
Eyeaze 1% Eye Drops,EYE-1PCT-DRP,Carbonic anhydrase inhibitor eye drops used to reduce intraocular pressure in glaucoma and ocular hypertension.,118.00,135.00,60,10,true,false,Eye Drops,1%,Brinzolamide,Ridge Pharma,Eye Care
Hylo-Night Eye Ointment,HYL-NGT-ONT,Preservative-free nighttime ocular ointment with Vitamin A for prolonged dry eye relief during sleep.,115.00,130.00,70,10,false,false,Eye Ointment,Standard,Vitamin A (Retinol Palmitate),Ursapharm,Eye Care
Buscopan 20mg/mL Injection,BUS-20MG-INJ,"Antispasmodic injection for acute smooth muscle spasms of gastrointestinal, biliary, and genitourinary tracts.",62.02,75.00,100,10,true,false,Injection,20mg/mL,Hyoscine Butylbromide,Sanofi,Gastrointestinal
Ramipril 10mg Tablets - Noumed,RAM-10MG-NOU,High-strength ACE inhibitor for blood pressure control and reduction of cardiovascular mortality.,185.00,210.00,100,10,true,false,Tablet,10mg,Ramipril,Noumed,Cardiovascular
Fexofenadine 120mg Tablets,FEX-120-NOU,"Non-drowsy second-generation antihistamine for allergic rhinitis, hay fever, and hives.",139.00,160.00,120,15,false,false,Tablet,120mg,Fexofenadine Hydrochloride,Noumed,Allergy & Cold
Allopurinol 100mg Tablets,ALL-100-IPC,Xanthine oxidase inhibitor used for long-term prevention of gout attacks and uric acid kidney stones.,17.75,22.00,150,15,true,false,Tablet,100mg,Allopurinol,Ipca Laboratories,Pain Relief
Naproxen 250mg Tablets,NAP-250-CRE,"NSAID providing long-lasting relief from inflammation, musculoskeletal pain, arthritis, and dysmenorrhea.",133.00,150.00,120,15,true,false,Tablet,250mg,Naproxen,Crescent Pharma,Pain Relief
Progesterone 100mg Capsules,PRO-100-ZEN,"Micronised bioidentical progesterone for luteal phase support, HRT regimens, and menstrual cycle regulation.",151.00,175.00,80,10,true,false,Capsule,100mg,Progesterone,Zentiva,Women Health
Sodium Bicarbonate Ear Drops,SOD-BIC-DRP,Gentle ear drops formulated to soften hardened ear wax and facilitate ear syringing or natural clearance.,49.00,58.00,100,10,false,false,Ear Drops,5%,Sodium Bicarbonate,Essential Healthcare,Ear Care
Oxybutynin 5mg Tablets,OXY-5MG-STR,"Anticholinergic bladder relaxant used to treat overactive bladder, urinary urgency, and frequency.",131.00,150.00,90,10,true,false,Tablet,5mg,Oxybutynin Hydrochloride,Strides Pharma,Men Health
Cini Optic HA 0.21% Eye Drops,CIN-021-DRP,High-concentration hyaluronic acid eye drops for intense hydration and sustained ocular surface comfort.,131.00,150.00,70,10,false,false,Eye Drops,0.21%,Sodium Hyaluronate,Pentan Healthcare,Eye Care
Gliclazide 80mg Tablets - Genesis,GLI-80MG-GEN,Sulfonylurea antidiabetic agent that stimulates insulin secretion in Type 2 Diabetes management.,33.20,40.00,150,15,true,false,Tablet,80mg,Gliclazide,Genesis Pharmaceuticals,Diabetes Care
Gliclazide 80mg Tablets - Crescent,GLI-80MG-CRE,Oral hypoglycemic tablet for glycemic control in non-insulin-dependent Type 2 Diabetes.,34.50,42.00,150,15,true,false,Tablet,80mg,Gliclazide,Crescent Pharma,Diabetes Care
Water for Injection 5mL Ampoules - Hameln,WFI-5ML-HAM,Sterile solvent ampoules for reconstituting lyophilized drugs and compounding injectables.,20.06,25.00,250,25,false,false,Injection,5mL,Sterile Water for Injection,Hameln,Medical Supplies
Paracetamol 500mg Tablets - Zentiva,PAR-500-ZEN,"Essential analgesic and antipyretic for mild to moderate aches, headaches, and fever reduction.",33.00,40.00,300,30,false,true,Tablet,500mg,Paracetamol,Zentiva,Pain Relief
Paracetamol 500mg Tablets - Crescent,PAR-500-CRE,Everyday pain and fever relief tablets with reliable rapid absorption.,36.30,42.00,300,30,false,true,Tablet,500mg,Paracetamol,Crescent Pharma,Pain Relief
Paracetamol 500mg Tablets - Ipca,PAR-500-IPC,High-quality Paracetamol tablets providing dependable pain and fever relief.,10.18,14.00,300,30,false,true,Tablet,500mg,Paracetamol,Ipca Laboratories,Pain Relief
Thealoz Duo Eye Drops,THE-DUO-DRP,Advanced bioprotection & hydration dry eye drops combining Trehalose and Sodium Hyaluronate.,198.00,225.00,60,10,false,false,Eye Drops,Standard (10mL),Trehalose + Sodium Hyaluronate,Thea Laboratories,Eye Care
Ventolin Evohaler 100mcg,VEN-100-EVO,Fast-acting bronchodilator inhaler providing immediate relief from asthma attacks and bronchospasms.,91.00,105.00,150,20,true,true,Inhaler,100mcg,Salbutamol Sulfate,GlaxoSmithKline (GSK),Respiratory
Chlorphenamine 4mg Tablets,CHL-4MG-CRE,"First-generation antihistamine for fast relief from allergic reactions, insect bites, chickenpox itching, and urticaria.",62.00,72.00,150,15,false,false,Tablet,4mg,Chlorphenamine Maleate,Crescent Pharma,Allergy & Cold
Hylo-Care Eye Drops,HYL-CAR-DRP,Ophthalmic moisturizing solution with dexpanthenol to support corneal epithelial healing and dry eye relief.,195.00,220.00,60,10,false,false,Eye Drops,Standard (10mL),Sodium Hyaluronate + Dexpanthenol,Ursapharm,Eye Care
Aspirin 75mg Gastro-Resistant Tablets - Almus,ASP-75MG-ALM,Low-dose enteric-coated antiplatelet aspirin for secondary cardiovascular and stroke prevention.,57.00,68.00,200,20,false,false,Tablet,75mg,Aspirin (Acetylsalicylic Acid),Almus,Cardiovascular
Aspirin 75mg Dispersible Tablets - Aspar,ASP-75MG-ASP,Dispersible low-dose cardioprotective aspirin providing rapid platelet inhibition.,210.25,240.00,150,15,false,false,Tablet,75mg,Aspirin (Acetylsalicylic Acid),Aspar Pharmaceuticals,Cardiovascular
Amlodipine 5mg Tablets - Sandoz,AML-5MG-SAN,Dihydropyridine calcium channel blocker for hypertension and chronic stable angina.,20.00,26.00,200,20,true,false,Tablet,5mg,Amlodipine Besilate,Sandoz,Cardiovascular
Amlodipine 5mg Tablets - Crescent,AML-5MG-CRE,Long-acting calcium channel blocker for daily blood pressure control.,61.00,72.00,180,20,true,false,Tablet,5mg,Amlodipine Besilate,Crescent Pharma,Cardiovascular
Amlodipine 10mg Tablets - Sandoz,AML-10MG-SAN,Higher dose calcium channel blocker for resistant hypertension and angina pectoris.,14.00,18.00,180,20,true,false,Tablet,10mg,Amlodipine Besilate,Sandoz,Cardiovascular
